movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1929363人评价
霸王别姬,2,9.6,1420030人评价
阿甘正传,3,9.5,1465612人评价
这个杀手不太冷,4,9.4,1661900人评价
美丽人生,5,9.5,928027人评价
泰坦尼克号,6,9.4,1411281人评价
千与千寻,7,9.3,1509104人评价
辛德勒的名单,8,9.5,748708人评价
盗梦空间,9,9.3,1410556人评价
忠犬八公的故事,10,9.4,971158人评价
海上钢琴师,11,9.3,1172707人评价
机器人总动员,12,9.3,930429人评价
三傻大闹宝莱坞,13,9.2,1298355人评价
楚门的世界,14,9.3,1034029人评价
放牛班的春天,15,9.3,903356人评价
星际穿越,16,9.3,1044827人评价
大话西游之大圣娶亲,17,9.2,1021154人评价
熔炉,18,9.3,626215人评价
疯狂动物城,19,9.2,1211976人评价
无间道,20,9.2,833350人评价
龙猫,21,9.2,871608人评价
教父,22,9.3,638496人评价
当幸福来敲门,23,9.1,1040613人评价
怦然心动,24,9.1,1201548人评价
触不可及,25,9.2,679998人评价
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,1929363人评价
霸王别姬,2,9.6,1420030人评价
阿甘正传,3,9.5,1465612人评价
这个杀手不太冷,4,9.4,1661900人评价
美丽人生,5,9.5,928027人评价
泰坦尼克号,6,9.4,1411281人评价
千与千寻,7,9.3,1509104人评价
辛德勒的名单,8,9.5,749120人评价
盗梦空间,9,9.3,1410556人评价
忠犬八公的故事,10,9.4,971158人评价
海上钢琴师,11,9.3,1172707人评价
机器人总动员,12,9.3,930429人评价
三傻大闹宝莱坞,13,9.2,1298355人评价
楚门的世界,14,9.3,1034029人评价
放牛班的春天,15,9.3,903356人评价
星际穿越,16,9.3,1044827人评价
大话西游之大圣娶亲,17,9.2,1021154人评价
熔炉,18,9.3,626215人评价
疯狂动物城,19,9.2,1211976人评价
无间道,20,9.2,833350人评价
龙猫,21,9.2,871608人评价
教父,22,9.3,638496人评价
当幸福来敲门,23,9.1,1040613人评价
怦然心动,24,9.1,1201548人评价
触不可及,25,9.2,679998人评价
蝙蝠侠：黑暗骑士,26,9.2,700731人评价
控方证人,27,9.6,263812人评价
活着,28,9.2,541022人评价
乱世佳人,29,9.3,464574人评价
寻梦环游记,30,9.1,1008284人评价
末代皇帝,31,9.2,477922人评价
摔跤吧！爸爸,32,9.0,1056961人评价
少年派的奇幻漂流,33,9.1,990209人评价
指环王3：王者无敌,34,9.2,512245人评价
飞屋环游记,35,9.0,917489人评价
十二怒汉,36,9.4,308771人评价
何以为家,37,9.1,592854人评价
鬼子来了,38,9.2,425013人评价
天空之城,39,9.1,582796人评价
大话西游之月光宝盒,40,9.0,821012人评价
哈尔的移动城堡,41,9.0,666278人评价
天堂电影院,42,9.2,463239人评价
素媛,43,9.2,414756人评价
罗马假日,44,9.0,672536人评价
闻香识女人,45,9.1,583687人评价
辩护人,46,9.2,415785人评价
搏击俱乐部,47,9.0,612491人评价
哈利·波特与魔法石,48,9.0,610960人评价
死亡诗社,49,9.1,478791人评价
教父2,50,9.2,351921人评价
窃听风暴,51,9.1,394623人评价
我不是药神,52,9.0,1425202人评价
狮子王,53,9.0,541100人评价
指环王2：双塔奇兵,54,9.1,469475人评价
大闹天宫,55,9.3,253719人评价
两杆大烟枪,56,9.1,418739人评价
指环王1：魔戒再现,57,9.0,527930人评价
飞越疯人院,58,9.1,418365人评价
美丽心灵,59,9.0,519069人评价
饮食男女,60,9.1,384450人评价
V字仇杀队,61,8.9,733886人评价
黑客帝国,62,9.0,528093人评价
猫鼠游戏,63,9.0,529690人评价
钢琴家,64,9.1,346972人评价
本杰明·巴顿奇事,65,8.9,678885人评价
看不见的客人,66,8.8,786008人评价
让子弹飞,67,8.8,1103113人评价
海豚湾,68,9.3,276606人评价
西西里的美丽传说,69,8.9,663822人评价
情书,70,8.9,624960人评价
拯救大兵瑞恩,71,9.0,438241人评价
小鞋子,72,9.2,269430人评价
音乐之声,73,9.0,405342人评价
美国往事,74,9.2,288958人评价
穿条纹睡衣的男孩,75,9.1,331125人评价
致命魔术,76,8.9,580430人评价
七宗罪,77,8.8,677708人评价
低俗小说,78,8.8,577137人评价
绿皮书,79,8.9,1007453人评价
沉默的羔羊,80,8.8,574280人评价
蝴蝶效应,81,8.8,638594人评价
被嫌弃的松子的一生,82,8.9,516584人评价
春光乍泄,83,8.9,429264人评价
禁闭岛,84,8.8,636198人评价
心灵捕手,85,8.9,476144人评价
布达佩斯大饭店,86,8.8,602240人评价
海蒂和爷爷,87,9.2,230600人评价
剪刀手爱德华,88,8.7,775336人评价
勇敢的心,89,8.9,432379人评价
阿凡达,90,8.7,916381人评价
摩登时代,91,9.3,187240人评价
天使爱美丽,92,8.7,743735人评价
加勒比海盗,93,8.7,606954人评价
致命ID,94,8.8,533158人评价
喜剧之王,95,8.7,631814人评价
断背山,96,8.8,515536人评价
杀人回忆,97,8.8,437600人评价
幽灵公主,98,8.9,378881人评价
狩猎,99,9.1,234861人评价
入殓师,100,8.8,438793人评价
阳光灿烂的日子,101,8.8,435067人评价
重庆森林,102,8.7,546315人评价
第六感,103,8.9,374260人评价
请以你的名字呼唤我,104,8.9,415830人评价
小森林 夏秋篇,105,9.0,279103人评价
哈利·波特与死亡圣器(下),106,8.8,500148人评价
消失的爱人,107,8.7,615345人评价
7号房的礼物,108,8.9,345146人评价
红辣椒,109,9.0,260199人评价
玛丽和马克思,110,8.9,321483人评价
爱在黎明破晓前,111,8.8,397403人评价
小森林 冬春篇,112,9.0,245567人评价
告白,113,8.7,521019人评价
一一,114,9.0,239860人评价
侧耳倾听,115,8.9,307780人评价
大鱼,116,8.8,402731人评价
阳光姐妹淘,117,8.8,438297人评价
蝙蝠侠：黑暗骑士崛起,118,8.8,490496人评价
唐伯虎点秋香,119,8.6,681965人评价
射雕英雄传之东成西就,120,8.7,448245人评价
超脱,121,8.9,309637人评价
倩女幽魂,122,8.7,483198人评价
甜蜜蜜,123,8.8,352598人评价
驯龙高手,124,8.7,519793人评价
萤火之森,125,8.9,328080人评价
恐怖直播,126,8.8,424829人评价
菊次郎的夏天,127,8.8,344928人评价
幸福终点站,128,8.8,367235人评价
超能陆战队,129,8.7,671108人评价
爱在日落黄昏时,130,8.8,340009人评价
无人知晓,131,9.1,177167人评价
借东西的小人阿莉埃蒂,132,8.8,365204人评价
神偷奶爸,133,8.6,672935人评价
怪兽电力公司,134,8.7,436370人评价
玩具总动员3,135,8.8,339050人评价
完美的世界,136,9.1,165120人评价
风之谷,137,8.9,272253人评价
血战钢锯岭,138,8.7,555820人评价
上帝之城,139,8.9,222525人评价
傲慢与偏见,140,8.6,514070人评价
时空恋旅人,141,8.7,370095人评价
电锯惊魂,142,8.7,341332人评价
教父3,143,8.9,233611人评价
喜宴,144,8.9,230188人评价
谍影重重3,145,8.8,296824人评价
岁月神偷,146,8.7,442125人评价
功夫,147,8.5,623483人评价
英雄本色,148,8.7,336480人评价
被解救的姜戈,149,8.7,420478人评价
七武士,150,9.2,127696人评价
疯狂原始人,151,8.7,596663人评价
天书奇谭,152,9.2,132488人评价
哪吒闹海,153,9.1,164527人评价
心迷宫,154,8.7,332230人评价
三块广告牌,155,8.7,582800人评价
萤火虫之墓,156,8.7,309376人评价
真爱至上,157,8.6,504234人评价
我是山姆,158,8.9,199788人评价
纵横四海,159,8.8,273441人评价
达拉斯买家俱乐部,160,8.8,310387人评价
东邪西毒,161,8.6,417852人评价
爆裂鼓手,162,8.7,379962人评价
荒蛮故事,163,8.8,279796人评价
头号玩家,164,8.7,973145人评价
记忆碎片,165,8.6,424647人评价
贫民窟的百万富翁,166,8.6,549860人评价
人生果实,167,9.5,79740人评价
黑天鹅,168,8.6,615392人评价
花样年华,169,8.6,388769人评价
你的名字。,170,8.4,930241人评价
釜山行,171,8.5,750480人评价
卢旺达饭店,172,8.9,195765人评价
忠犬八公物语,173,9.2,123848人评价
头脑特工队,174,8.7,399840人评价
雨人,175,8.7,299228人评价
模仿游戏,176,8.7,414356人评价
黑客帝国3：矩阵革命,177,8.7,280972人评价
一个叫欧维的男人决定去死,178,8.8,244384人评价
你看起来好像很好吃,179,8.9,236608人评价
无敌破坏王,180,8.7,363713人评价
未麻的部屋,181,8.9,177931人评价
恋恋笔记本,182,8.5,451185人评价
冰川时代,183,8.6,438283人评价
哈利·波特与阿兹卡班的囚徒,184,8.6,360401人评价
海街日记,185,8.8,262515人评价
海边的曼彻斯特,186,8.6,339861人评价
二十二,187,8.7,204060人评价
新世界,188,8.8,213206人评价
虎口脱险,189,8.9,162521人评价
哈利·波特与密室,190,8.6,379763人评价
房间,191,8.8,271865人评价
恐怖游轮,192,8.5,540365人评价
雨中曲,193,9.0,142249人评价
魔女宅急便,194,8.6,321317人评价
人工智能,195,8.6,300825人评价
惊魂记,196,8.9,154739人评价
奇迹男孩,197,8.6,395237人评价
疯狂的石头,198,8.4,546831人评价
海洋,199,9.1,126709人评价
罗生门,200,8.8,208342人评价
燃情岁月,201,8.8,207893人评价
终结者2：审判日,202,8.7,241514人评价
魂断蓝桥,203,8.8,190049人评价
爱在午夜降临前,204,8.8,211189人评价
穿越时空的少女,205,8.6,284861人评价
初恋这件小事,206,8.4,732635人评价
可可西里,207,8.8,200124人评价
小偷家族,208,8.7,554189人评价
2001太空漫游,209,8.8,189393人评价
绿里奇迹,210,8.8,181502人评价
完美陌生人,211,8.5,386212人评价
牯岭街少年杀人事件,212,8.8,175081人评价
阿飞正传,213,8.5,341560人评价
无耻混蛋,214,8.6,340537人评价
香水,215,8.5,406574人评价
新龙门客栈,216,8.6,304084人评价
谍影重重2,217,8.6,251013人评价
源代码,218,8.4,584777人评价
谍影重重,219,8.6,300228人评价
猜火车,220,8.5,331712人评价
战争之王,221,8.6,253415人评价
青蛇,222,8.5,350038人评价
城市之光,223,9.3,82469人评价
地球上的星星,224,8.9,142507人评价
血钻,225,8.6,240746人评价
浪潮,226,8.7,195963人评价
朗读者,227,8.6,360942人评价
彗星来的那一夜,228,8.5,339860人评价
疯狂的麦克斯4：狂暴之路,229,8.6,351902人评价
色，戒,230,8.4,454740人评价
步履不停,231,8.8,169656人评价
遗愿清单,232,8.6,246712人评价
大佛普拉斯,233,8.7,253327人评价
小萝莉的猴神大叔,234,8.4,334918人评价
再次出发之纽约遇见你,235,8.5,287812人评价
追随,236,8.9,125749人评价
聚焦,237,8.8,200418人评价
东京物语,238,9.2,86383人评价
一次别离,239,8.7,189764人评价
驴得水,240,8.3,628824人评价
黑鹰坠落,241,8.7,200236人评价
我爱你,242,9.0,103093人评价
千钧一发,243,8.8,162262人评价
发条橙,244,8.5,271251人评价
网络谜踪,245,8.6,362404人评价
四个春天,246,8.9,111012人评价
E.T. 外星人,247,8.6,247376人评价
撞车,248,8.6,243424人评价
变脸,249,8.5,308687人评价
梦之安魂曲,250,8.7,159499人评价
